trip_id,start_time,end_time,headway_secs,exact_times
24,05:00:00,22:00:00,1200,0
25,05:00:00,22:00:00,1200,0
26,05:00:00,22:00:00,1200,0
27,05:00:00,22:00:00,1200,0
20,05:00:00,22:00:00,1200,0
21,05:00:00,22:00:00,1200,0
22,05:00:00,22:00:00,1200,0
23,05:00:00,22:00:00,1200,0
28,05:00:00,22:00:00,1200,0
29,05:00:00,22:00:00,1200,0
0,05:00:00,22:00:00,1200,0
4,05:00:00,22:00:00,1200,0
8,05:00:00,22:00:00,1200,0
59,05:00:00,22:00:00,1200,0
58,05:00:00,22:00:00,1200,0
55,05:00:00,22:00:00,1200,0
54,05:00:00,22:00:00,1200,0
57,05:00:00,22:00:00,1200,0
56,05:00:00,22:00:00,1200,0
51,05:00:00,22:00:00,1200,0
50,05:00:00,22:00:00,1200,0
53,05:00:00,22:00:00,1200,0
52,05:00:00,22:00:00,1200,0
88,05:00:00,22:00:00,1200,0
89,05:00:00,22:00:00,1200,0
82,05:00:00,22:00:00,1200,0
83,05:00:00,22:00:00,1200,0
80,05:00:00,22:00:00,1200,0
81,05:00:00,22:00:00,1200,0
86,05:00:00,22:00:00,1800,0
87,05:00:00,22:00:00,1200,0
84,05:00:00,22:00:00,1200,0
85,05:00:00,22:00:00,1800,0
3,05:00:00,22:00:00,1200,0
7,05:00:00,22:00:00,1200,0
100,05:00:00,22:00:00,1200,0
39,05:00:00,22:00:00,1200,0
38,05:00:00,22:00:00,1200,0
33,05:00:00,22:00:00,1200,0
32,05:00:00,22:00:00,1200,0
31,05:00:00,22:00:00,1200,0
30,05:00:00,22:00:00,1200,0
37,05:00:00,22:00:00,1200,0
36,05:00:00,22:00:00,1200,0
35,05:00:00,22:00:00,1200,0
34,05:00:00,22:00:00,1200,0
60,05:00:00,22:00:00,1200,0
61,05:00:00,22:00:00,1800,0
62,05:00:00,22:00:00,1800,0
63,05:00:00,22:00:00,1200,0
64,05:00:00,22:00:00,1200,0
65,05:00:00,22:00:00,1200,0
66,05:00:00,22:00:00,1200,0
67,05:00:00,22:00:00,1200,0
68,05:00:00,22:00:00,1200,0
69,05:00:00,22:00:00,1200,0
2,05:00:00,22:00:00,1200,0
6,05:00:00,22:00:00,1200,0
99,05:00:00,22:00:00,1200,0
98,05:00:00,22:00:00,1200,0
91,05:00:00,22:00:00,1200,0
90,05:00:00,22:00:00,1200,0
93,05:00:00,22:00:00,1200,0
92,05:00:00,22:00:00,1200,0
95,05:00:00,22:00:00,1200,0
94,05:00:00,22:00:00,1200,0
97,05:00:00,22:00:00,1200,0
96,05:00:00,22:00:00,1200,0
11,05:00:00,22:00:00,1200,0
10,05:00:00,22:00:00,1200,0
13,05:00:00,22:00:00,1200,0
12,05:00:00,22:00:00,1200,0
15,05:00:00,22:00:00,1200,0
14,05:00:00,22:00:00,1200,0
17,05:00:00,22:00:00,1200,0
16,05:00:00,22:00:00,1200,0
19,05:00:00,22:00:00,1200,0
18,05:00:00,22:00:00,1200,0
48,05:00:00,22:00:00,1200,0
49,05:00:00,22:00:00,1200,0
46,05:00:00,22:00:00,1200,0
47,05:00:00,22:00:00,1200,0
44,05:00:00,22:00:00,1200,0
45,05:00:00,22:00:00,1200,0
42,05:00:00,22:00:00,1200,0
43,05:00:00,22:00:00,1200,0
40,05:00:00,22:00:00,1200,0
41,05:00:00,22:00:00,1200,0
1,05:00:00,22:00:00,1200,0
5,05:00:00,22:00:00,1200,0
9,05:00:00,22:00:00,1200,0
77,05:00:00,22:00:00,1200,0
76,05:00:00,22:00:00,1200,0
75,05:00:00,22:00:00,1200,0
74,05:00:00,22:00:00,1200,0
73,05:00:00,22:00:00,1200,0
72,05:00:00,22:00:00,1200,0
71,05:00:00,22:00:00,1200,0
70,05:00:00,22:00:00,1200,0
79,05:00:00,22:00:00,1200,0
78,05:00:00,22:00:00,1200,0
